year,energy_source,total_energy_consumption_twh,renewable_share_pct,fossil_fuel_share_pct,co2_emissions_mt,co2_per_capita_t,hydro_twh,wind_twh,solar_twh,biomass_twh,nuclear_twh,coal_twh,gas_twh,oil_twh,total_renewable_twh,total_fossil_twh,energy_intensity,gdp_usd,population,decade,policy_event_flag,eu_renewable_share_pct
1900,coal,50.0,13.999,86.001,7.399,1.232,7.936,0.0,0.0,6.35,0.0,31.746,0.794,3.175,14.286,35.714,1.822,27440000000,6003845,1900s,0,20.0
1901,coal,50.769,14.118,85.882,7.552,1.249,8.106,0.0,0.0,6.333,0.0,32.067,0.865,3.398,14.439,36.33,1.8,28204161538,6047703,1900s,0,19.88
1902,coal,51.538,14.238,85.762,7.705,1.265,8.276,0.0,0.0,6.317,0.0,32.391,0.936,3.618,14.594,36.945,1.779,28968323077,6091561,1900s,0,19.76
1903,coal,52.308,14.365,85.635,7.867,1.282,8.45,0.0,0.0,6.3,0.0,32.716,1.006,3.836,14.75,37.558,1.759,29732484615,6135419,1900s,0,19.64
1904,coal,53.077,14.482,85.518,8.017,1.297,8.616,0.0,0.0,6.29,0.0,33.046,1.074,4.05,14.907,38.17,1.74,30496646154,6179277,1900s,0,19.52
1905,coal,53.846,14.588,85.412,8.156,1.311,8.777,0.0,0.0,6.286,0.0,33.379,1.141,4.263,15.063,38.783,1.722,31260807692,6223135,1900s,0,19.4
1906,coal,54.615,14.716,85.284,8.319,1.327,8.949,0.0,0.0,6.273,0.0,33.711,1.209,4.473,15.222,39.393,1.705,32024969231,6266993,1900s,0,19.28
1907,coal,55.385,14.835,85.165,8.472,1.342,9.115,0.0,0.001,6.266,0.0,34.047,1.275,4.681,15.382,40.003,1.689,32789130769,6310852,1900s,0,19.16
1908,coal,56.154,14.956,85.044,8.626,1.357,9.281,0.0,0.001,6.26,0.0,34.384,1.341,4.887,15.542,40.612,1.674,33553292308,6354710,1900s,0,19.04
1909,coal,56.923,15.079,84.921,8.783,1.373,9.448,0.0,0.001,6.254,0.0,34.723,1.406,5.091,15.703,41.22,1.659,34317453846,6398568,1900s,0,18.92
1910,coal,57.692,15.201,84.799,8.94,1.388,9.615,0.0,0.001,6.249,0.0,35.064,1.471,5.293,15.865,41.828,1.645,35081615385,6442426,1910s,0,18.8
1911,coal,58.462,15.331,84.669,9.106,1.404,9.786,0.0,0.001,6.242,0.0,35.404,1.535,5.494,16.028,42.433,1.631,35845776923,6486284,1910s,0,18.68
1912,coal,59.231,15.452,84.548,9.261,1.418,9.95,0.0,0.001,6.24,0.0,35.748,1.599,5.693,16.191,43.04,1.618,36609938462,6530142,1910s,0,18.56
1913,coal,60.0,15.568,84.432,9.41,1.431,10.112,0.0,0.001,6.241,0.0,36.094,1.661,5.891,16.354,43.646,1.605,37374100000,6574000,1910s,0,18.44
1914,coal,58.286,15.677,84.323,9.054,1.38,9.956,0.0,0.001,6.065,0.0,34.679,1.673,5.911,16.023,42.263,1.638,35580585714,6562000,1910s,0,18.32
1915,coal,56.571,15.789,84.211,8.702,1.329,9.793,0.0,0.001,5.889,0.0,33.29,1.68,5.918,15.683,40.889,1.674,33787071429,6550000,1910s,0,18.2
1916,coal,54.857,15.916,84.084,8.367,1.28,9.628,0.0,0.001,5.706,0.0,31.925,1.685,5.912,15.335,39.522,1.715,31993557143,6538000,1910s,0,18.08
1917,coal,53.143,16.051,83.949,8.039,1.232,9.458,0.0,0.001,5.52,0.0,30.585,1.686,5.892,14.98,38.163,1.76,30200042857,6526000,1910s,0,17.96
1918,coal,51.429,16.166,83.834,7.692,1.181,9.268,0.0,0.001,5.342,0.0,29.274,1.682,5.861,14.612,36.817,1.81,28406528571,6514000,1910s,1,17.84
1919,coal,49.714,16.282,83.718,7.345,1.13,9.07,0.0,0.001,5.164,0.0,27.988,1.674,5.817,14.235,35.479,1.868,26613014286,6502000,1910s,0,17.72
1920,coal,48.0,16.407,83.593,7.006,1.079,8.866,0.0,0.001,4.983,0.0,26.726,1.662,5.761,13.851,34.149,1.934,24819500000,6490000,1920s,0,17.6
1921,coal,50.222,16.509,83.491,7.224,1.11,9.452,0.0,0.001,5.212,0.0,27.609,1.782,6.166,14.666,35.556,1.9,26427433333,6510000,1920s,0,17.48
1922,coal,52.444,16.631,83.369,7.459,1.142,10.061,0.0,0.001,5.434,0.0,28.461,1.906,6.58,15.496,36.948,1.871,28035366667,6530000,1920s,0,17.36
1923,coal,54.667,16.76,83.24,7.7,1.176,10.687,0.0,0.001,5.652,0.0,29.287,2.035,7.004,16.341,38.326,1.844,29643300000,6550000,1920s,0,17.24
1924,coal,56.889,16.889,83.111,7.942,1.209,11.326,0.0,0.002,5.869,0.0,30.088,2.166,7.438,17.198,39.691,1.82,31251233333,6570000,1920s,0,17.12
