year,month,energy_source,generation_gwh,temperature_anomaly_c
1900,1,hydro,334.936,-0.116
1900,1,wind,0.0,-0.485
1900,1,solar,0.0,-0.335
1900,1,biomass,2000.0,-0.366
1900,1,coal,15196.152,-0.058
1900,1,gas,379.904,-0.094
1900,1,oil,1519.615,0.035
1900,2,hydro,1250.0,-0.448
1900,2,wind,0.0,-0.247
1900,2,solar,0.0,-0.482
1900,2,biomass,2000.0,-0.369
1900,2,coal,16000.0,-0.197
1900,2,gas,400.0,-0.484
1900,2,oil,1600.0,-0.381
1900,3,hydro,2500.0,-0.11
1900,3,wind,0.0,-0.173
1900,3,solar,0.0,-0.368
1900,3,biomass,2000.0,-0.146
1900,3,coal,15196.152,-0.014
1900,3,gas,379.904,-0.496
1900,3,oil,1519.615,-0.017
1900,4,hydro,3750.0,-0.081
1900,4,wind,0.0,-0.296
1900,4,solar,0.0,-0.407
1900,4,biomass,2000.0,0.074
1900,4,coal,13000.0,-0.298
1900,4,gas,325.0,-0.444
1900,4,oil,1300.0,-0.442
1900,5,hydro,4665.064,0.008
1900,5,wind,0.0,-0.138
1900,5,solar,0.0,-0.016
1900,5,biomass,2000.0,-0.062
1900,5,coal,10000.0,-0.178
1900,5,gas,250.0,0.084
1900,5,oil,1000.0,-0.273
1900,6,hydro,5000.0,-0.169
1900,6,wind,0.0,-0.002
1900,6,solar,0.0,-0.129
1900,6,biomass,2000.0,0.017
1900,6,coal,7000.0,-0.154
1900,6,gas,175.0,-0.077
1900,6,oil,700.0,-0.473
1900,7,hydro,4665.064,-0.363
1900,7,wind,0.0,-0.326
1900,7,solar,0.0,-0.452
1900,7,biomass,2000.0,-0.36
1900,7,coal,4803.848,-0.439
1900,7,gas,120.096,-0.333
1900,7,oil,480.385,-0.119
1900,8,hydro,3750.0,-0.281
1900,8,wind,0.0,-0.278
1900,8,solar,0.0,-0.374
1900,8,biomass,2000.0,-0.34
1900,8,coal,4000.0,0.062
1900,8,gas,100.0,-0.111
1900,8,oil,400.0,-0.135
1900,9,hydro,2500.0,-0.397
1900,9,wind,0.0,-0.063
1900,9,solar,0.0,-0.402
1900,9,biomass,2000.0,-0.272
1900,9,coal,4803.848,0.094
1900,9,gas,120.096,-0.116
1900,9,oil,480.385,-0.166
1900,10,hydro,1250.0,-0.089
1900,10,wind,0.0,0.006
1900,10,solar,0.0,-0.034
1900,10,biomass,2000.0,-0.363
1900,10,coal,7000.0,-0.481
1900,10,gas,175.0,-0.311
1900,10,oil,700.0,-0.339
1900,11,hydro,334.936,-0.373
1900,11,wind,0.0,0.066
1900,11,solar,0.0,0.026
1900,11,biomass,2000.0,-0.311
1900,11,coal,10000.0,-0.107
1900,11,gas,250.0,-0.263
1900,11,oil,1000.0,0.049
1900,12,hydro,0.0,-0.225
1900,12,wind,0.0,-0.341
1900,12,solar,0.0,-0.352
1900,12,biomass,2000.0,-0.163
1900,12,coal,13000.0,-0.342
1900,12,gas,325.0,-0.149
1900,12,oil,1300.0,0.039
1901,1,hydro,344.985,-0.248
1901,1,wind,0.0,-0.356
1901,1,solar,0.0,0.111
1901,1,biomass,2050.0,-0.182
1901,1,coal,15803.999,-0.433
1901,1,gas,392.567,-0.46
1901,1,oil,1557.606,-0.422
1901,2,hydro,1287.5,-0.112
1901,2,wind,0.0,-0.013
1901,2,solar,0.0,-0.235
1901,2,biomass,2050.0,-0.45
1901,2,coal,16640.0,-0.259
1901,2,gas,413.333,0.11
1901,2,oil,1640.0,-0.171
1901,3,hydro,2575.0,0.095
1901,3,wind,0.0,0.028
1901,3,solar,0.0,-0.481
1901,3,biomass,2050.0,-0.056
1901,3,coal,15803.999,-0.079
1901,3,gas,392.567,-0.166
1901,3,oil,1557.606,-0.328
1901,4,hydro,3862.5,-0.103
1901,4,wind,0.0,-0.421
1901,4,solar,0.0,-0.227
1901,4,biomass,2050.0,-0.216
1901,4,coal,13520.0,0.084
1901,4,gas,335.833,0.038
1901,4,oil,1332.5,-0.33
1901,5,hydro,4805.015,-0.188
1901,5,wind,0.0,-0.381
1901,5,solar,0.0,0.06
1901,5,biomass,2050.0,0.034
1901,5,coal,10400.0,-0.309
1901,5,gas,258.333,-0.105
1901,5,oil,1025.0,-0.123
1901,6,hydro,5150.0,-0.396
1901,6,wind,0.0,-0.03
1901,6,solar,0.0,-0.164
1901,6,biomass,2050.0,-0.021
1901,6,coal,7280.0,-0.17
1901,6,gas,180.833,-0.488
1901,6,oil,717.5,-0.294
1901,7,hydro,4805.015,-0.476
1901,7,wind,0.0,0.069
1901,7,solar,0.0,0.039
1901,7,biomass,2050.0,0.011
1901,7,coal,4996.001,-0.303
1901,7,gas,124.099,-0.453
1901,7,oil,492.394,0.039
1901,8,hydro,3862.5,0.08
1901,8,wind,0.0,-0.437
1901,8,solar,0.0,-0.196
1901,8,biomass,2050.0,-0.446
1901,8,coal,4160.0,-0.032
1901,8,gas,103.333,-0.028
1901,8,oil,410.0,-0.411
1901,9,hydro,2575.0,-0.203
1901,9,wind,0.0,-0.158
1901,9,solar,0.0,-0.329
1901,9,biomass,2050.0,0.035
1901,9,coal,4996.001,-0.234
1901,9,gas,124.099,-0.361
1901,9,oil,492.394,-0.164
1901,10,hydro,1287.5,-0.05
1901,10,wind,0.0,-0.367
1901,10,solar,0.0,-0.301
1901,10,biomass,2050.0,0.109
1901,10,coal,7280.0,-0.098
1901,10,gas,180.833,-0.225
1901,10,oil,717.5,-0.177
1901,11,hydro,344.985,-0.415
1901,11,wind,0.0,-0.353
1901,11,solar,0.0,-0.285
1901,11,biomass,2050.0,-0.135
1901,11,coal,10400.0,-0.35
1901,11,gas,258.333,-0.356
1901,11,oil,1025.0,-0.445
1901,12,hydro,0.0,-0.109
1901,12,wind,0.0,-0.351
1901,12,solar,0.0,0.055
1901,12,biomass,2050.0,0.028
1901,12,coal,13520.0,-0.445
1901,12,gas,335.833,-0.345
1901,12,oil,1332.5,-0.087
1902,1,hydro,355.033,-0.347
1902,1,wind,0.0,-0.397
1902,1,solar,0.0,0.085
1902,1,biomass,2100.0,-0.133
1902,1,coal,16411.845,-0.192
1902,1,gas,405.231,-0.005
1902,1,oil,1595.596,0.008
1902,2,hydro,1325.0,-0.362
1902,2,wind,0.0,-0.418
1902,2,solar,0.0,-0.217
1902,2,biomass,2100.0,-0.222
1902,2,coal,17280.0,-0.196
1902,2,gas,426.667,-0.039
1902,2,oil,1680.0,-0.072
1902,3,hydro,2650.0,0.114
1902,3,wind,0.0,-0.417
1902,3,solar,0.0,-0.234
1902,3,biomass,2100.0,-0.272
1902,3,coal,16411.845,0.041
1902,3,gas,405.231,-0.327
1902,3,oil,1595.596,-0.362
1902,4,hydro,3975.0,-0.207
1902,4,wind,0.0,-0.223
1902,4,solar,0.0,-0.309
1902,4,biomass,2100.0,-0.326
1902,4,coal,14040.0,0.078
1902,4,gas,346.667,-0.21
1902,4,oil,1365.0,0.041
1902,5,hydro,4944.967,-0.146
1902,5,wind,0.0,-0.446
1902,5,solar,0.0,0.124
1902,5,biomass,2100.0,0.026
1902,5,coal,10800.0,0.105
1902,5,gas,266.667,0.08
1902,5,oil,1050.0,0.033
1902,6,hydro,5300.0,-0.376
1902,6,wind,0.0,-0.185
1902,6,solar,0.0,-0.348
