year,energy_source,total_energy_consumption_twh,renewable_share_pct,fossil_fuel_share_pct,co2_emissions_mt,hydro_twh,wind_twh,solar_twh,biomass_twh,nuclear_twh,coal_twh,gas_twh,oil_twh,energy_intensity,gdp_usd,population,policy_event_flag
1900,coal,50,15,85,7.449,5,0,0,2,0,20,0.5,2,12,2.744e+10,5.97918e+06,0
1901,coal,51.5,15.15,84.85,7.738,5.15,0,0,2.05,0,20.8,0.516667,2.05,11.925,2.75498e+10,6.04056e+06,0
1902,coal,53,15.3,84.7,8.028,5.3,0,0,2.1,0,21.6,0.533333,2.1,11.85,2.86287e+10,6.10256e+06,0
1903,coal,54.5,15.45,84.55,8.317,5.45,0,0,2.15,0,22.4,0.55,2.15,11.775,2.88968e+10,6.16521e+06,0
1904,coal,56,15.6,84.4,8.606,5.6,0,0,2.2,0,23.2,0.566667,2.2,11.7,2.93463e+10,6.22849e+06,0
1905,coal,57.5,15.75,84.25,8.896,5.75,0,0,2.25,0,24,0.583333,2.25,11.625,3.09881e+10,6.29243e+06,0
1906,coal,59,15.9,84.1,9.185,5.9,0,0,2.3,0,24.8,0.6,2.3,11.55,3.21791e+10,6.35702e+06,0
1907,coal,60.5,16.05,83.95,9.475,6.05,0,0,2.35,0,25.6,0.616667,2.35,11.475,3.41661e+10,6.42227e+06,0
1908,coal,62,16.2,83.8,9.764,6.2,0,0,2.4,0,26.4,0.633333,2.4,11.4,3.43186e+10,6.4882e+06,0
1909,coal,63.5,16.35,83.65,10.053,6.35,0,0,2.45,0,27.2,0.65,2.45,11.325,3.42041e+10,6.53801e+06,0
1910,coal,65,16.5,83.5,10.343,6.5,0,0,2.5,0,28,0.666667,2.5,11.25,3.46838e+10,6.57159e+06,0
1911,coal,63.3,16.65,83.35,10.018,6.65,0,0,2.55,0,27,0.683333,2.55,11.175,3.57725e+10,6.5888e+06,0
1912,coal,61.6,16.8,83.2,9.694,6.8,0,0,2.6,0,26,0.7,2.6,11.1,3.7567e+10,6.58953e+06,0
1913,coal,59.9,16.95,83.05,9.369,6.95,0,0,2.65,0,25,0.716667,2.65,11.025,3.73741e+10,6.57364e+06,0
1914,coal,58.2,17.1,82.9,9.045,7.1,0,0,2.7,0,24,0.733333,2.7,10.95,3.11987e+10,6.55778e+06,0
1915,coal,56.5,17.25,82.75,8.721,7.25,0,0,2.75,0,23,0.75,2.75,10.875,2.8939e+10,6.54197e+06,0
1916,coal,54.8,17.4,82.6,8.396,7.4,0,0,2.8,0,22,0.766667,2.8,10.8,2.85899e+10,6.52619e+06,0
1917,coal,53.1,17.55,82.45,8.072,7.55,0,0,2.85,0,21,0.783333,2.85,10.725,2.79678e+10,6.51045e+06,0
1918,coal,51.4,17.7,82.3,7.747,7.7,0,0,2.9,0,20,0.8,2.9,10.65,2.73991e+10,6.49462e+06,1
1919,coal,49.7,17.85,82.15,7.423,7.85,0,0,2.95,0,19,0.816667,2.95,10.575,2.31184e+10,6.4865e+06,0
1920,coal,48,18,82,7.098,8,0,0,3,0,18,0.833333,3,10.5,2.48195e+10,6.48607e+06,0
1921,coal,50.2,18.2,81.8,7.32,8.2,0,0,3.06667,0,18.6,0.85,3.05,10.425,2.74729e+10,6.49335e+06,0
1922,coal,52.4,18.4,81.6,7.541,8.4,0,0,3.13333,0,19.2,0.866667,3.1,10.35,2.99374e+10,6.50836e+06,0
