geo,country_name,time,sex,age_group,indicator_code,indicator_label,indicator_category,value,unit,data_suppressed,is_outlier_flagged,source_dataset,ehis_wave,last_retrieved
AT,Austria,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,72.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
AT,Austria,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,62.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
BE,Belgium,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,39.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
BG,Bulgaria,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,7.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
BG,Bulgaria,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,9.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
CY,Cyprus,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,35.7,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
CY,Cyprus,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,32.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
CZ,Czechia,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,32.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
CZ,Czechia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,33.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
DE,Germany,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,66.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
DE,Germany,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,67.0,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
DK,Denmark,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,76.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
DK,Denmark,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,78.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EE,Estonia,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,34.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EE,Estonia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,42.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EL,Greece,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,19.8,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EL,Greece,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,22.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
ES,Spain,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,41.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
ES,Spain,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,46.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EU27_2020,European Union - 27 countries (from 2020),2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,40.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
EU27_2020,European Union - 27 countries (from 2020),2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,42.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
EU28,European Union - 28 countries (2013-2020),2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,42.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FI,Finland,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,74.4,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FR,France,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,45.9,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
FR,France,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,43.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
HR,Croatia,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,18.2,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
HR,Croatia,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,25.6,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
HU,Hungary,2014,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,32.1,PC,False,False,hlth_ehis_pe3,EHIS Wave 2 (2014),2026-06-10
HU,Hungary,2019,Female,TOTAL,MV_AERO_SPRT,Aerobic sports,Physical Activity,40.5,PC,False,False,hlth_ehis_pe3,EHIS Wave 3 (2019),2026-06-10
