geo,country_name,time,sex,age,indicator_code,indicator_label,value,unit,data_suppressed,source_dataset
AT,Austria,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,72.1,PC,False,hlth_ehis_pe3
AT,Austria,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,62.0,PC,False,hlth_ehis_pe3
BE,Belgium,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,39.4,PC,False,hlth_ehis_pe3
BG,Bulgaria,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,7.2,PC,False,hlth_ehis_pe3
BG,Bulgaria,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,9.4,PC,False,hlth_ehis_pe3
CY,Cyprus,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,35.7,PC,False,hlth_ehis_pe3
CY,Cyprus,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,32.5,PC,False,hlth_ehis_pe3
CZ,Czechia,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,32.9,PC,False,hlth_ehis_pe3
CZ,Czechia,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,33.1,PC,False,hlth_ehis_pe3
DE,Germany,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,66.4,PC,False,hlth_ehis_pe3
DE,Germany,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,67.0,PC,False,hlth_ehis_pe3
DK,Denmark,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,76.9,PC,False,hlth_ehis_pe3
DK,Denmark,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,78.4,PC,False,hlth_ehis_pe3
EE,Estonia,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,34.1,PC,False,hlth_ehis_pe3
EE,Estonia,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,42.8,PC,False,hlth_ehis_pe3
EL,Greece,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,19.8,PC,False,hlth_ehis_pe3
EL,Greece,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,22.2,PC,False,hlth_ehis_pe3
ES,Spain,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,41.2,PC,False,hlth_ehis_pe3
ES,Spain,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,46.2,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,40.4,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,42.1,PC,False,hlth_ehis_pe3
EU28,European Union - 28 countries (2013-2020),2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,42.2,PC,False,hlth_ehis_pe3
FI,Finland,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,74.4,PC,False,hlth_ehis_pe3
FR,France,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,45.9,PC,False,hlth_ehis_pe3
FR,France,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,43.1,PC,False,hlth_ehis_pe3
HR,Croatia,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,18.2,PC,False,hlth_ehis_pe3
HR,Croatia,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,25.6,PC,False,hlth_ehis_pe3
HU,Hungary,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,32.1,PC,False,hlth_ehis_pe3
HU,Hungary,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,40.5,PC,False,hlth_ehis_pe3
IE,Ireland,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,44.3,PC,False,hlth_ehis_pe3
IE,Ireland,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,49.4,PC,False,hlth_ehis_pe3
IS,Iceland,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,72.8,PC,False,hlth_ehis_pe3
